"filename", "language", "PowerShell", "TypeScript", "Markdown", "MS SQL", "JSON with Comments", "XML", "JavaScript", "JSON", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\HP\Downloads\Main_Dashboard\app\api\purchase-orders\workflow\route.ts", "TypeScript", 0, 595, 0, 0, 0, 0, 0, 0, 0, 0, 2, 66, 663
"c:\Users\HP\Downloads\Main_Dashboard\app\api\user-preferences\route.ts", "TypeScript", 0, 118, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23, 145
"c:\Users\HP\Downloads\Main_Dashboard\app\auth\login\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 196, 0, 1, 20, 217
"c:\Users\HP\Downloads\Main_Dashboard\app\brands\kia\business-excellence\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 6, 23
"c:\Users\HP\Downloads\Main_Dashboard\app\brands\kia\ro-billing\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 603, 0, 24, 78, 705
"c:\Users\HP\Downloads\Main_Dashboard\app\dashboard\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 247, 0, 8, 15, 270
"c:\Users\HP\Downloads\Main_Dashboard\app\forbidden.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 2, 22
"c:\Users\HP\Downloads\Main_Dashboard\app\globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 0, 8, 93
"c:\Users\HP\Downloads\Main_Dashboard\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 5, 51
"c:\Users\HP\Downloads\Main_Dashboard\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 1, 4, 18
"c:\Users\HP\Downloads\Main_Dashboard\app\purchase-orders\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 2073, 0, 3, 227, 2303
"c:\Users\HP\Downloads\Main_Dashboard\components.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 1, 21
"c:\Users\HP\Downloads\Main_Dashboard\components\analytics\activity-card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 5, 55
"c:\Users\HP\Downloads\Main_Dashboard\components\analytics\integration-list.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 4, 69
"c:\Users\HP\Downloads\Main_Dashboard\components\analytics\kpi-card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 7, 62
