Date : 2026-06-20 14:16:59
Directory : c:\Users\sahil\Downloads\am_group_main_dashboard
Total : 566 files,  153820 codes, 1000 comments, 12487 blanks, all 167307 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\sahil\Downloads\am_group_main_dashboard\PROJECT_KT_HANDOVER.md                                                         | Markdown           |        456 |          0 |        199 |        655 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\PURCHASE_ORDERS_COMPLETE.md                                                    | Markdown           |        265 |          0 |         62 |        327 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\PURCHASE_ORDERS_ENHANCEMENTS_GUIDE.md                                          | Markdown           |        258 |          0 |         71 |        329 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\PURCHASE_ORDERS_SETUP.md                                                       | Markdown           |        146 |          0 |         51 |        197 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\QUICK_START.md                                                                 | Markdown           |         91 |          0 |         26 |        117 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\README.md                                                                      | Markdown           |         23 |          0 |         14 |         37 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\REDIS_SETUP.md                                                                 | Markdown           |        134 |          0 |         54 |        188 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\SETTINGS_SETUP.md                                                              | Markdown           |        172 |          0 |         38 |        210 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\SETUP_ADMIN_USER.md                                                            | Markdown           |        120 |          0 |         33 |        153 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\WORKFLOW_REDESIGN_SUMMARY.md                                                   | Markdown           |        117 |          0 |         29 |        146 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\admin\page.tsx                                                             | TypeScript JSX     |         15 |          0 |          3 |         18 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\admin\permissions\page.tsx                                                 | TypeScript JSX     |         10 |          0 |          2 |         12 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\admin\roles\page.tsx                                                       | TypeScript JSX     |          4 |          0 |          2 |          6 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\admin\settings\page.tsx                                                    | TypeScript JSX     |          4 |          0 |          2 |          6 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\admin\users\page.tsx                                                       | TypeScript JSX     |          4 |          0 |          2 |          6 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\am-finance\page.tsx                                                        | TypeScript JSX     |         24 |          0 |          5 |         29 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\admin\audit\route.ts                                                   | TypeScript         |         54 |          0 |          7 |         61 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\admin\overview\route.ts                                                | TypeScript         |         61 |          0 |          6 |         67 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\admin\permissions\route.ts                                             | TypeScript         |        188 |          0 |         17 |        205 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\admin\settings\route.ts                                                | TypeScript         |         97 |          0 |         16 |        113 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\admin\users\route.ts                                                   | TypeScript         |        438 |          0 |         45 |        483 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\am-finance\analytics\route.ts                                          | TypeScript         |        868 |          0 |         93 |        961 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\am-finance\audit\route.ts                                              | TypeScript         |         89 |          0 |          9 |         98 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\am-finance\duplicates\route.ts                                         | TypeScript         |         51 |          0 |         10 |         61 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\am-finance\route.ts                                                    | TypeScript         |        702 |          0 |         77 |        779 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\auth\login\route.ts                                                    | TypeScript         |         48 |          0 |          7 |         55 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\auth\logout\route.ts                                                   | TypeScript         |         10 |          1 |          6 |         17 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\auth\permissions\route.ts                                              | TypeScript         |         33 |          0 |          6 |         39 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\auth\user\route.ts                                                     | TypeScript         |         39 |          0 |          7 |         46 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\business-excellence\ai-summary\route.ts                 | TypeScript         |        445 |          0 |         65 |        510 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\business-excellence\complaints\route.ts                 | TypeScript         |        752 |          0 |         28 |        780 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\business-excellence\freshness\route.ts                  | TypeScript         |        153 |          0 |         11 |        164 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\business-excellence\open-ro\route.ts                    | TypeScript         |        513 |          0 |         29 |        542 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\business-excellence\overview\route.ts                   | TypeScript         |      1,215 |          0 |         62 |      1,277 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\business-excellence\performance-intelligence\route.ts   | TypeScript         |        442 |          0 |         30 |        472 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\business-excellence\ro-billing-analysis\route.ts        | TypeScript         |      1,413 |          0 |        140 |      1,553 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\business-excellence\ro-billing-report\route.ts          | TypeScript         |        319 |          0 |         15 |        334 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\business-excellence\route.ts                            | TypeScript         |        305 |          0 |         36 |        341 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\business-excellence\rows\route.ts                       | TypeScript         |         19 |          0 |          5 |         24 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\business-excellence\service-dashboard-export\route.ts   | TypeScript         |         32 |          0 |          3 |         35 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\business-excellence\service-dashboard-preview\route.ts  | TypeScript         |         26 |          0 |          3 |         29 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\business-excellence\sot\route.ts                        | TypeScript         |         29 |          0 |          4 |         33 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\business-excellence\workshop-performance\route.ts       | TypeScript         |        899 |          0 |         40 |        939 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\repair-orders\route.ts                                  | TypeScript         |        292 |          0 |         15 |        307 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\warranty-claims\actions\route.ts                        | TypeScript         |        195 |          0 |         13 |        208 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\warranty-claims\dealer-mappings\route.ts                | TypeScript         |         35 |          0 |          3 |         38 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\warranty-claims\evidence\[id]\route.ts                  | TypeScript         |         30 |          0 |          3 |         33 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\warranty-claims\route.ts                                | TypeScript         |        610 |          2 |         66 |        678 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\business-excellence\ai-summary\route.ts                     | TypeScript         |        446 |          0 |         65 |        511 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\business-excellence\complaints\route.ts                     | TypeScript         |        748 |          0 |         26 |        774 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\business-excellence\freshness\route.ts                      | TypeScript         |        119 |          0 |         10 |        129 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\business-excellence\open-ro\route.ts                        | TypeScript         |        516 |          0 |         29 |        545 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\business-excellence\overview\route.ts                       | TypeScript         |      1,086 |          0 |         59 |      1,145 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\business-excellence\performance-intelligence\route.ts       | TypeScript         |        447 |          0 |         30 |        477 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\business-excellence\ro-billing-analysis\route.ts            | TypeScript         |      1,553 |          0 |        143 |      1,696 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\business-excellence\route.ts                                | TypeScript         |        321 |          0 |         38 |        359 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\business-excellence\rows\route.ts                           | TypeScript         |         17 |          0 |          5 |         22 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\business-excellence\service-dashboard-email\route.ts        | TypeScript         |         48 |          0 |          8 |         56 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\business-excellence\service-dashboard-export\route.ts       | TypeScript         |         36 |          0 |          6 |         42 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\business-excellence\service-dashboard-preview\route.ts      | TypeScript         |         33 |          0 |          6 |         39 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\business-excellence\workshop-performance\route.ts           | TypeScript         |        868 |          0 |         67 |        935 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\demo-cars-list\route.ts                                     | TypeScript         |        504 |          0 |         32 |        536 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\demo-job-cards\route.ts                                     | TypeScript         |        422 |          0 |         51 |        473 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\proforma\[id]\preview\route.ts                              | TypeScript         |         36 |          0 |          5 |         41 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\proforma\[id]\route.ts                                      | TypeScript         |         94 |          0 |         12 |        106 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\proforma\analytics\route.ts                                 | TypeScript         |        138 |          0 |          9 |        147 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\proforma\options\route.ts                                   | TypeScript         |         59 |          0 |          7 |         66 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\proforma\route.ts                                           | TypeScript         |        191 |          0 |         20 |        211 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\proforma\settings\route.ts                                  | TypeScript         |         27 |          0 |          6 |         33 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\service-appointment\route.ts                                | TypeScript         |        381 |          0 |         21 |        402 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\mg\proforma\[id]\preview\route.ts                               | TypeScript         |         36 |          0 |          5 |         41 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\mg\proforma\[id]\route.ts                                       | TypeScript         |         94 |          0 |         12 |        106 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\mg\proforma\analytics\route.ts                                  | TypeScript         |        141 |          0 |         11 |        152 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\mg\proforma\options\route.ts                                    | TypeScript         |         78 |          0 |          7 |         85 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\mg\proforma\route.ts                                            | TypeScript         |        195 |          0 |         20 |        215 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\mg\proforma\settings\route.ts                                   | TypeScript         |         27 |          0 |          6 |         33 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\platinum\business-excellence\ai-summary\route.ts                | TypeScript         |        489 |          0 |         71 |        560 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\platinum\business-excellence\complaints\route.ts                | TypeScript         |      1,099 |          0 |         35 |      1,134 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\platinum\business-excellence\freshness\route.ts                 | TypeScript         |        189 |          0 |          9 |        198 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\platinum\business-excellence\open-ro\route.ts                   | TypeScript         |        543 |          0 |         31 |        574 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\platinum\business-excellence\overview\route.ts                  | TypeScript         |      1,665 |          0 |         76 |      1,741 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\platinum\business-excellence\performance-intelligence\route.ts  | TypeScript         |        457 |          0 |         30 |        487 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\platinum\business-excellence\ro-billing-analysis\route.ts       | TypeScript         |      1,718 |          0 |        148 |      1,866 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\platinum\business-excellence\route.ts                           | TypeScript         |        325 |          0 |         36 |        361 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\platinum\business-excellence\rows\route.ts                      | TypeScript         |         19 |          0 |          5 |         24 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\platinum\business-excellence\service-dashboard-export\route.ts  | TypeScript         |         36 |          0 |          5 |         41 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\platinum\business-excellence\service-dashboard-preview\route.ts | TypeScript         |         30 |          0 |          5 |         35 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\platinum\business-excellence\sot\route.ts                       | TypeScript         |        469 |          0 |         35 |        504 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\platinum\business-excellence\workshop-performance\route.ts      | TypeScript         |      1,430 |          0 |         97 |      1,527 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\platinum\warranty-claims\actions\route.ts                       | TypeScript         |        195 |          0 |         13 |        208 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\platinum\warranty-claims\dealer-mappings\route.ts               | TypeScript         |         35 |          0 |          3 |         38 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\platinum\warranty-claims\evidence\[id]\route.ts                 | TypeScript         |         33 |          0 |          2 |         35 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\platinum\warranty-claims\route.ts                               | TypeScript         |        618 |          3 |         66 |        687 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\business-excellence\ro-billing-analysis\route.ts                       | TypeScript         |          6 |          0 |          3 |          9 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\business-excellence\route.ts                                           | TypeScript         |          6 |          0 |          3 |          9 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\finance-orders\route.ts                                                | TypeScript         |        399 |          0 |         46 |        445 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\finance-orders\workflow\route.ts                                       | TypeScript         |        281 |          0 |         24 |        305 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\health\route.ts                                                        | TypeScript         |         33 |          2 |          5 |         40 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\notifications\route.ts                                                 | TypeScript         |        102 |          0 |         17 |        119 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\purchase-orders\approve\route.ts                                       | TypeScript         |         74 |          7 |         17 |         98 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\purchase-orders\bulk-approve\route.ts                                  | TypeScript         |        176 |          0 |         27 |        203 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\purchase-orders\file\route.ts                                          | TypeScript         |         89 |          1 |         24 |        114 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\purchase-orders\route.ts                                               | TypeScript         |        495 |          4 |         85 |        584 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\purchase-orders\upload\route.ts                                        | TypeScript         |         74 |          0 |         13 |         87 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\purchase-orders\workflow\route.ts                                      | TypeScript         |        617 |          2 |         67 |        686 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\user-preferences\route.ts                                              | TypeScript         |        118 |          4 |         23 |        145 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\auth\login\page.tsx                                                        | TypeScript JSX     |        220 |          1 |         20 |        241 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\brands\hyundai\[...module]\page.tsx                                        | TypeScript JSX     |        145 |          5 |         17 |        167 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\brands\hyundai\business-excellence\page.tsx                                | TypeScript JSX     |         41 |          0 |          7 |         48 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\brands\hyundai\page.tsx                                                    | TypeScript JSX     |         18 |          5 |          7 |         30 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\brands\kia\business-excellence\[report]\loading.tsx                        | TypeScript JSX     |         16 |          0 |          1 |         17 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\brands\kia\business-excellence\[report]\page.tsx                           | TypeScript JSX     |         49 |          0 |         12 |         61 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\brands\kia\business-excellence\page.tsx                                    | TypeScript JSX     |         29 |          0 |          7 |         36 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\brands\kia\demo-cars-list\page.tsx                                         | TypeScript JSX     |         17 |          0 |          6 |         23 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\brands\kia\demo-job-cards\page.tsx                                         | TypeScript JSX     |         17 |          0 |          6 |         23 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\brands\kia\proforma\[section]\page.tsx                                     | TypeScript JSX     |         30 |          0 |          6 |         36 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\brands\kia\proforma\page.tsx                                               | TypeScript JSX     |         16 |          0 |          4 |         20 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\brands\kia\ro-billing\page.tsx                                             | TypeScript JSX     |        603 |         24 |         78 |        705 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\brands\kia\service-appointment\page.tsx                                    | TypeScript JSX     |         22 |          0 |          7 |         29 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\brands\mg\[...module]\page.tsx                                             | TypeScript JSX     |         74 |          0 |         12 |         86 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\brands\mg\page.tsx                                                         | TypeScript JSX     |         27 |          0 |          7 |         34 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\brands\mg\proforma\[section]\page.tsx                                      | TypeScript JSX     |         30 |          0 |          6 |         36 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\brands\mg\proforma\page.tsx                                                | TypeScript JSX     |         16 |          0 |          4 |         20 |
| c:\Users\sahil\Downloads\am_group_main_dashboard\app\brands\platinum\[...module]\page.tsx                                       | TypeScript JSX     |        129 |          0 |         14 |        143 |
