"filename", "language", "JSON with Comments", "JSON", "Markdown", "TypeScript", "TypeScript JSX", "MS SQL", "JavaScript", "comment", "blank", "total"
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\platinum\business-excellence\workshop-performance\route.ts", "TypeScript", 0, 0, 0, -2, 0, 0, 0, 0, -1, -3
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\platinum\warranty-claims\actions\route.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\platinum\warranty-claims\route.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 10
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\notifications\route.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\petty-cash\allocations\current\route.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 3, 21
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\petty-cash\categories\route.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 3, 18
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\petty-cash\expenses\[id]\workflow\route.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 3, 21
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\petty-cash\expenses\route.ts", "TypeScript", 0, 0, 0, 45, 0, 0, 0, 0, 7, 52
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\petty-cash\reports\route.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 3, 21
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\petty-cash\requests\[id]\workflow\route.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 3, 21
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\petty-cash\requests\route.ts", "TypeScript", 0, 0, 0, 45, 0, 0, 0, 0, 7, 52
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\petty-cash\route.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 3, 18
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\petty-cash\upload\route.ts", "TypeScript", 0, 0, 0, 75, 0, 0, 0, 0, 13, 88
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\brands\kia\insurance\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 47, 0, 0, 0, 8, 55
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\brands\kia\sales-report\loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 45, 0, 0, 0, 6, 51
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\brands\kia\sales-report\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 21, 0, 0, 0, 5, 26
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\brands\kia\sales-report\sales-report-client.tsx", "TypeScript JSX", 0, 0, 0, 0, 2133, 0, 0, 0, 118, 2251
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 5, 0, 0, 0, 0, 5
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\petty-cash\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 1123, 0, 0, 0, 87, 1210
"c:\Users\sahil\Downloads\am_group_main_dashboard\components\layout\notification-bell.tsx", "TypeScript JSX", 0, 0, 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\sahil\Downloads\am_group_main_dashboard\components\layout\sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 99, 0, 0, 0, 1, 100
"c:\Users\sahil\Downloads\am_group_main_dashboard\components\providers\activity-tracker.tsx", "TypeScript JSX", 0, 0, 0, 0, 55, 0, 0, 0, 13, 68
"c:\Users\sahil\Downloads\am_group_main_dashboard\components\providers\query-provider.tsx", "TypeScript JSX", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\sahil\Downloads\am_group_main_dashboard\docs\hyundai-business-excellence-source-contract.md", "Markdown", 0, 0, 2, 0, 0, 0, 0, 0, 0, 2
"c:\Users\sahil\Downloads\am_group_main_dashboard\docs\hyundai-cron-ingestion-contract.md", "Markdown", 0, 0, 26, 0, 0, 0, 0, 0, 13, 39
"c:\Users\sahil\Downloads\am_group_main_dashboard\docs\hyundai-data-coverage-2026-06-24.md", "Markdown", 0, 0, 145, 0, 0, 0, 0, 0, 26, 171
"c:\Users\sahil\Downloads\am_group_main_dashboard\features\hyundai\business-excellence-overview.tsx", "TypeScript JSX", 0, 0, 0, 0, 40, 0, 0, 0, 1, 41
"c:\Users\sahil\Downloads\am_group_main_dashboard\features\hyundai\business-excellence-page.tsx", "TypeScript JSX", 0, 0, 0, 0, 65, 0, 0, 0, 1, 66
"c:\Users\sahil\Downloads\am_group_main_dashboard\features\hyundai\warranty-claims-page.tsx", "TypeScript JSX", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\sahil\Downloads\am_group_main_dashboard\features\kia\kia-sales-report-page.tsx", "TypeScript JSX", 0, 0, 0, 0, 1499, 0, 0, 5, 89, 1593
