"filename", "language", "log", "JavaScript", "PowerShell", "JSON with Comments", "Markdown", "TypeScript", "JSON", "TypeScript JSX", "MS SQL", "PostCSS", "XML", "comment", "blank", "total"
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\am-finance\duplicates\route.ts", "TypeScript", 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 10, 61
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\am-finance\route.ts", "TypeScript", 0, 0, 0, 0, 0, 702, 0, 0, 0, 0, 0, 0, 77, 779
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\auth\login\route.ts", "TypeScript", 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 9, 76
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\auth\logout\route.ts", "TypeScript", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 1, 6, 17
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\auth\permissions\route.ts", "TypeScript", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 6, 39
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\auth\user\route.ts", "TypeScript", 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 7, 46
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\business-excellence\ai-summary\route.ts", "TypeScript", 0, 0, 0, 0, 0, 445, 0, 0, 0, 0, 0, 0, 65, 510
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\business-excellence\complaints\route.ts", "TypeScript", 0, 0, 0, 0, 0, 752, 0, 0, 0, 0, 0, 0, 28, 780
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\business-excellence\freshness\route.ts", "TypeScript", 0, 0, 0, 0, 0, 234, 0, 0, 0, 0, 0, 0, 11, 245
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\business-excellence\open-ro\route.ts", "TypeScript", 0, 0, 0, 0, 0, 538, 0, 0, 0, 0, 0, 0, 29, 567
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\business-excellence\overview\route.ts", "TypeScript", 0, 0, 0, 0, 0, 1395, 0, 0, 0, 0, 0, 0, 43, 1438
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\business-excellence\performance-intelligence\route.ts", "TypeScript", 0, 0, 0, 0, 0, 445, 0, 0, 0, 0, 0, 0, 30, 475
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\business-excellence\ro-billing-analysis\route.ts", "TypeScript", 0, 0, 0, 0, 0, 1585, 0, 0, 0, 0, 0, 0, 144, 1729
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\business-excellence\ro-billing-report\route.ts", "TypeScript", 0, 0, 0, 0, 0, 320, 0, 0, 0, 0, 0, 0, 15, 335
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\business-excellence\route.ts", "TypeScript", 0, 0, 0, 0, 0, 313, 0, 0, 0, 0, 0, 0, 36, 349
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\business-excellence\rows\route.ts", "TypeScript", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 5, 24
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\business-excellence\service-dashboard-export\route.ts", "TypeScript", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 3, 35
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\business-excellence\service-dashboard-preview\route.ts", "TypeScript", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 3, 32
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\business-excellence\sot\route.ts", "TypeScript", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 4, 33
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\business-excellence\workshop-performance\route.ts", "TypeScript", 0, 0, 0, 0, 0, 952, 0, 0, 0, 0, 0, 0, 42, 994
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\repair-orders\route.ts", "TypeScript", 0, 0, 0, 0, 0, 298, 0, 0, 0, 0, 0, 0, 15, 313
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\warranty-claims\actions\route.ts", "TypeScript", 0, 0, 0, 0, 0, 198, 0, 0, 0, 0, 0, 0, 13, 211
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\warranty-claims\dealer-mappings\route.ts", "TypeScript", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 3, 38
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\warranty-claims\evidence\[id]\route.ts", "TypeScript", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 3, 33
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\hyundai\warranty-claims\route.ts", "TypeScript", 0, 0, 0, 0, 0, 645, 0, 0, 0, 0, 0, 2, 67, 714
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\business-excellence\ai-summary\route.ts", "TypeScript", 0, 0, 0, 0, 0, 446, 0, 0, 0, 0, 0, 0, 65, 511
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\business-excellence\complaints\route.ts", "TypeScript", 0, 0, 0, 0, 0, 748, 0, 0, 0, 0, 0, 0, 26, 774
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\business-excellence\freshness\route.ts", "TypeScript", 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 13, 135
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\business-excellence\open-ro\route.ts", "TypeScript", 0, 0, 0, 0, 0, 516, 0, 0, 0, 0, 0, 0, 29, 545
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\business-excellence\overview\route.ts", "TypeScript", 0, 0, 0, 0, 0, 1089, 0, 0, 0, 0, 0, 0, 59, 1148
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\business-excellence\performance-intelligence\route.ts", "TypeScript", 0, 0, 0, 0, 0, 450, 0, 0, 0, 0, 0, 0, 30, 480
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\business-excellence\ro-billing-analysis\route.ts", "TypeScript", 0, 0, 0, 0, 0, 1551, 0, 0, 0, 0, 0, 0, 142, 1693
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\business-excellence\route.ts", "TypeScript", 0, 0, 0, 0, 0, 329, 0, 0, 0, 0, 0, 0, 38, 367
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\business-excellence\rows\route.ts", "TypeScript", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 5, 22
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\business-excellence\service-dashboard-email\route.ts", "TypeScript", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 8, 56
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\business-excellence\service-dashboard-export\route.ts", "TypeScript", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 6, 42
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\business-excellence\service-dashboard-preview\route.ts", "TypeScript", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 6, 40
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\business-excellence\workshop-performance\route.ts", "TypeScript", 0, 0, 0, 0, 0, 884, 0, 0, 0, 0, 0, 0, 67, 951
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\demo-cars-list\route.ts", "TypeScript", 0, 0, 0, 0, 0, 499, 0, 0, 0, 0, 0, 0, 31, 530
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\demo-job-cards\route.ts", "TypeScript", 0, 0, 0, 0, 0, 422, 0, 0, 0, 0, 0, 0, 51, 473
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\proforma\[id]\preview\route.ts", "TypeScript", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 5, 41
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\proforma\[id]\route.ts", "TypeScript", 0, 0, 0, 0, 0, 94, 0, 0, 0, 0, 0, 0, 12, 106
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\proforma\analytics\route.ts", "TypeScript", 0, 0, 0, 0, 0, 138, 0, 0, 0, 0, 0, 0, 9, 147
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\proforma\options\route.ts", "TypeScript", 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 13, 92
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\proforma\route.ts", "TypeScript", 0, 0, 0, 0, 0, 191, 0, 0, 0, 0, 0, 0, 20, 211
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\proforma\settings\route.ts", "TypeScript", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 6, 33
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\sales-report\freshness\route.ts", "TypeScript", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 6, 38
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\sales-report\reports\route.ts", "TypeScript", 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 10, 78
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\sales-report\summary\route.ts", "TypeScript", 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 9, 54
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\kia\service-appointment\route.ts", "TypeScript", 0, 0, 0, 0, 0, 381, 0, 0, 0, 0, 0, 0, 21, 402
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\mg\proforma\[id]\preview\route.ts", "TypeScript", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 5, 41
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\mg\proforma\[id]\route.ts", "TypeScript", 0, 0, 0, 0, 0, 94, 0, 0, 0, 0, 0, 0, 12, 106
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\mg\proforma\analytics\route.ts", "TypeScript", 0, 0, 0, 0, 0, 141, 0, 0, 0, 0, 0, 0, 11, 152
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\mg\proforma\options\route.ts", "TypeScript", 0, 0, 0, 0, 0, 110, 0, 0, 0, 0, 0, 0, 14, 124
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\mg\proforma\route.ts", "TypeScript", 0, 0, 0, 0, 0, 195, 0, 0, 0, 0, 0, 0, 20, 215
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\mg\proforma\settings\route.ts", "TypeScript", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 6, 33
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\platinum\business-excellence\ai-summary\route.ts", "TypeScript", 0, 0, 0, 0, 0, 489, 0, 0, 0, 0, 0, 0, 71, 560
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\platinum\business-excellence\complaints\route.ts", "TypeScript", 0, 0, 0, 0, 0, 1099, 0, 0, 0, 0, 0, 0, 35, 1134
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\platinum\business-excellence\freshness\route.ts", "TypeScript", 0, 0, 0, 0, 0, 194, 0, 0, 0, 0, 0, 0, 9, 203
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\platinum\business-excellence\open-ro\route.ts", "TypeScript", 0, 0, 0, 0, 0, 543, 0, 0, 0, 0, 0, 0, 31, 574
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\platinum\business-excellence\overview\route.ts", "TypeScript", 0, 0, 0, 0, 0, 1664, 0, 0, 0, 0, 0, 0, 76, 1740
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\platinum\business-excellence\performance-intelligence\route.ts", "TypeScript", 0, 0, 0, 0, 0, 460, 0, 0, 0, 0, 0, 0, 30, 490
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\platinum\business-excellence\ro-billing-analysis\route.ts", "TypeScript", 0, 0, 0, 0, 0, 1745, 0, 0, 0, 0, 0, 0, 149, 1894
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\platinum\business-excellence\route.ts", "TypeScript", 0, 0, 0, 0, 0, 333, 0, 0, 0, 0, 0, 0, 36, 369
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\platinum\business-excellence\rows\route.ts", "TypeScript", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 5, 24
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\platinum\business-excellence\service-dashboard-export\route.ts", "TypeScript", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 5, 41
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\platinum\business-excellence\service-dashboard-preview\route.ts", "TypeScript", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 5, 36
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\platinum\business-excellence\sot\route.ts", "TypeScript", 0, 0, 0, 0, 0, 469, 0, 0, 0, 0, 0, 0, 35, 504
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\platinum\business-excellence\workshop-performance\route.ts", "TypeScript", 0, 0, 0, 0, 0, 1428, 0, 0, 0, 0, 0, 0, 96, 1524
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\platinum\warranty-claims\actions\route.ts", "TypeScript", 0, 0, 0, 0, 0, 198, 0, 0, 0, 0, 0, 0, 13, 211
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\platinum\warranty-claims\dealer-mappings\route.ts", "TypeScript", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 3, 38
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\platinum\warranty-claims\evidence\[id]\route.ts", "TypeScript", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 2, 35
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\brands\platinum\warranty-claims\route.ts", "TypeScript", 0, 0, 0, 0, 0, 628, 0, 0, 0, 0, 0, 3, 66, 697
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\business-excellence\ro-billing-analysis\route.ts", "TypeScript", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\business-excellence\route.ts", "TypeScript", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\finance-orders\route.ts", "TypeScript", 0, 0, 0, 0, 0, 399, 0, 0, 0, 0, 0, 0, 46, 445
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\finance-orders\workflow\route.ts", "TypeScript", 0, 0, 0, 0, 0, 281, 0, 0, 0, 0, 0, 0, 24, 305
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\health\route.ts", "TypeScript", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 2, 5, 40
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\notifications\route.ts", "TypeScript", 0, 0, 0, 0, 0, 106, 0, 0, 0, 0, 0, 0, 17, 123
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\petty-cash\allocations\current\route.ts", "TypeScript", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\petty-cash\categories\route.ts", "TypeScript", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\petty-cash\expenses\[id]\workflow\route.ts", "TypeScript", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Users\sahil\Downloads\am_group_main_dashboard\app\api\petty-cash\expenses\route.ts", "TypeScript", 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 7, 52
