Date : 2026-07-01 23:55:47
Directory : c:\Users\sahil\Downloads\am_group_main_dashboard
Total : 52 files,  4123 codes, 41 comments, 406 blanks, all 4570 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| TypeScript     |         36 |      2,215 |         13 |        244 |      2,472 |
| TypeScript JSX |         14 |      1,892 |         25 |        157 |      2,074 |
| JavaScript     |          1 |         14 |          3 |          3 |         20 |
| Markdown       |          1 |          2 |          0 |          2 |          4 |
+----------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                      | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                         |         52 |      4,123 |         41 |        406 |      4,570 |
| . (Files)                                                                                                                 |          1 |         17 |          0 |          3 |         20 |
| .agents                                                                                                                   |          1 |          2 |          0 |          2 |          4 |
| app                                                                                                                       |         28 |      2,473 |         31 |        220 |      2,724 |
| app\api                                                                                                                   |         20 |        815 |          6 |        100 |        921 |
| app\api\brands                                                                                                            |         19 |        814 |          6 |        100 |        920 |
| app\api\brands\hyundai                                                                                                    |          7 |        494 |          3 |         55 |        552 |
| app\api\brands\hyundai\business-excellence                                                                                |          5 |        490 |          0 |         51 |        541 |
| app\api\brands\hyundai\business-excellence\freshness                                                                      |          1 |          7 |          0 |          0 |          7 |
| app\api\brands\hyundai\business-excellence\open-ro                                                                        |          1 |         -8 |          0 |          0 |         -8 |
| app\api\brands\hyundai\business-excellence\overview                                                                       |          1 |         -7 |          0 |         17 |         10 |
| app\api\brands\hyundai\business-excellence\sot                                                                            |          1 |        493 |          0 |         35 |        528 |
| app\api\brands\hyundai\business-excellence\workshop-performance                                                           |          1 |          5 |          0 |         -1 |          4 |
| app\api\brands\hyundai\warranty-claims                                                                                    |          2 |          4 |          3 |          4 |         11 |
| app\api\brands\hyundai\warranty-claims (Files)                                                                            |          1 |          1 |          3 |          4 |          8 |
| app\api\brands\hyundai\warranty-claims\actions                                                                            |          1 |          3 |          0 |          0 |          3 |
| app\api\brands\kia                                                                                                        |          7 |        330 |          0 |         42 |        372 |
| app\api\brands\kia\business-excellence                                                                                    |          1 |        140 |          0 |          5 |        145 |
| app\api\brands\kia\business-excellence\ro-billing-analysis                                                                |          1 |        140 |          0 |          5 |        145 |
| app\api\brands\kia\sales-report                                                                                           |          3 |         40 |          0 |          6 |         46 |
| app\api\brands\kia\sales-report\freshness                                                                                 |          1 |          7 |          0 |          1 |          8 |
| app\api\brands\kia\sales-report\reports                                                                                   |          1 |         21 |          0 |          3 |         24 |
| app\api\brands\kia\sales-report\summary                                                                                   |          1 |         12 |          0 |          2 |         14 |
| app\api\brands\kia\stock-report                                                                                           |          3 |        150 |          0 |         31 |        181 |
| app\api\brands\kia\stock-report\freshness                                                                                 |          1 |         39 |          0 |          8 |         47 |
| app\api\brands\kia\stock-report\reports                                                                                   |          1 |         70 |          0 |         13 |         83 |
| app\api\brands\kia\stock-report\summary                                                                                   |          1 |         41 |          0 |         10 |         51 |
| app\api\brands\platinum                                                                                                   |          5 |        -10 |          3 |          3 |         -4 |
| app\api\brands\platinum\business-excellence                                                                               |          3 |        -14 |          0 |         -1 |        -15 |
| app\api\brands\platinum\business-excellence\freshness                                                                     |          1 |         -2 |          0 |          0 |         -2 |
| app\api\brands\platinum\business-excellence\open-ro                                                                       |          1 |         -7 |          0 |         -1 |         -8 |
| app\api\brands\platinum\business-excellence\overview                                                                      |          1 |         -5 |          0 |          0 |         -5 |
| app\api\brands\platinum\warranty-claims                                                                                   |          2 |          4 |          3 |          4 |         11 |
| app\api\brands\platinum\warranty-claims (Files)                                                                           |          1 |          1 |          3 |          4 |          8 |
| app\api\brands\platinum\warranty-claims\actions                                                                           |          1 |          3 |          0 |          0 |          3 |
| app\api\petty-cash                                                                                                        |          1 |          1 |          0 |          0 |          1 |
| app\brands                                                                                                                |          7 |      1,435 |         25 |        102 |      1,562 |
| app\brands\kia                                                                                                            |          7 |      1,435 |         25 |        102 |      1,562 |
| app\brands\kia\business-excellence                                                                                        |          2 |         -1 |          0 |         -2 |         -3 |
| app\brands\kia\business-excellence (Files)                                                                                |          1 |          3 |          0 |          0 |          3 |
| app\brands\kia\business-excellence\[report]                                                                               |          1 |         -4 |          0 |         -2 |         -6 |
| app\brands\kia\sales-report                                                                                               |          2 |        513 |         15 |         32 |        560 |
| app\brands\kia\stock-report                                                                                               |          3 |        923 |         10 |         72 |      1,005 |
| app\petty-cash                                                                                                            |          1 |        223 |          0 |         18 |        241 |
| components                                                                                                                |          1 |         72 |          0 |         15 |         87 |
| components\layout                                                                                                         |          1 |         72 |          0 |         15 |         87 |
| features                                                                                                                  |          5 |        162 |          0 |         22 |        184 |
| features\hyundai                                                                                                          |          2 |         -3 |          0 |          2 |         -1 |
| features\kia                                                                                                              |          1 |        156 |          0 |         17 |        173 |
| features\platinum                                                                                                         |          2 |          9 |          0 |          3 |         12 |
| lib                                                                                                                       |         14 |      1,363 |          7 |        137 |      1,507 |
