"filename", "language", "JSON with Comments", "Markdown", "PowerShell", "TypeScript", "MS SQL", "JavaScript", "XML", "JSON", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\HP\Downloads\Main_Dashboard\app\api\brands\kia\proforma\analytics\route.ts", "TypeScript", 0, 0, 0, 138, 0, 0, 0, 0, 0, 0, 0, 9, 147
"c:\Users\HP\Downloads\Main_Dashboard\app\api\brands\kia\proforma\options\route.ts", "TypeScript", 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 7, 57
"c:\Users\HP\Downloads\Main_Dashboard\app\api\brands\kia\proforma\route.ts", "TypeScript", 0, 0, 0, 191, 0, 0, 0, 0, 0, 0, 0, 20, 211
"c:\Users\HP\Downloads\Main_Dashboard\app\api\brands\kia\proforma\settings\route.ts", "TypeScript", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 6, 33
"c:\Users\HP\Downloads\Main_Dashboard\app\api\business-excellence\ro-billing-analysis\route.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\HP\Downloads\Main_Dashboard\app\api\business-excellence\route.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\HP\Downloads\Main_Dashboard\app\api\finance-orders\route.ts", "TypeScript", 0, 0, 0, 399, 0, 0, 0, 0, 0, 0, 0, 46, 445
"c:\Users\HP\Downloads\Main_Dashboard\app\api\finance-orders\workflow\route.ts", "TypeScript", 0, 0, 0, 281, 0, 0, 0, 0, 0, 0, 0, 24, 305
"c:\Users\HP\Downloads\Main_Dashboard\app\api\health\route.ts", "TypeScript", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 2, 5, 40
"c:\Users\HP\Downloads\Main_Dashboard\app\api\notifications\route.ts", "TypeScript", 0, 0, 0, 102, 0, 0, 0, 0, 0, 0, 0, 17, 119
"c:\Users\HP\Downloads\Main_Dashboard\app\api\purchase-orders\approve\route.ts", "TypeScript", 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 7, 17, 98
"c:\Users\HP\Downloads\Main_Dashboard\app\api\purchase-orders\bulk-approve\route.ts", "TypeScript", 0, 0, 0, 169, 0, 0, 0, 0, 0, 0, 0, 27, 196
"c:\Users\HP\Downloads\Main_Dashboard\app\api\purchase-orders\file\route.ts", "TypeScript", 0, 0, 0, 89, 0, 0, 0, 0, 0, 0, 1, 24, 114
"c:\Users\HP\Downloads\Main_Dashboard\app\api\purchase-orders\route.ts", "TypeScript", 0, 0, 0, 495, 0, 0, 0, 0, 0, 0, 4, 85, 584
"c:\Users\HP\Downloads\Main_Dashboard\app\api\purchase-orders\upload\route.ts", "TypeScript", 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 13, 87
"c:\Users\HP\Downloads\Main_Dashboard\app\api\purchase-orders\workflow\route.ts", "TypeScript", 0, 0, 0, 595, 0, 0, 0, 0, 0, 0, 2, 66, 663
"c:\Users\HP\Downloads\Main_Dashboard\app\api\user-preferences\route.ts", "TypeScript", 0, 0, 0, 118, 0, 0, 0, 0, 0, 0, 4, 23, 145
"c:\Users\HP\Downloads\Main_Dashboard\app\auth\login\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 220, 0, 1, 20, 241
"c:\Users\HP\Downloads\Main_Dashboard\app\brands\kia\business-excellence\[report]\loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 1, 17
"c:\Users\HP\Downloads\Main_Dashboard\app\brands\kia\business-excellence\[report]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 10, 53
"c:\Users\HP\Downloads\Main_Dashboard\app\brands\kia\business-excellence\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 7, 36
"c:\Users\HP\Downloads\Main_Dashboard\app\brands\kia\demo-cars-list\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 6, 23
"c:\Users\HP\Downloads\Main_Dashboard\app\brands\kia\demo-job-cards\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 6, 23
"c:\Users\HP\Downloads\Main_Dashboard\app\brands\kia\proforma\[section]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 6, 38
