"filename", "language", "JSON with Comments", "PowerShell", "Markdown", "TypeScript", "MS SQL", "XML", "JavaScript", "JSON", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\HP\Downloads\Main_Dashboard\app\api\purchase-orders\bulk-approve\route.ts", "TypeScript", 0, 0, 0, 169, 0, 0, 0, 0, 0, 0, 0, 27, 196
"c:\Users\HP\Downloads\Main_Dashboard\app\api\purchase-orders\file\route.ts", "TypeScript", 0, 0, 0, 89, 0, 0, 0, 0, 0, 0, 1, 24, 114
"c:\Users\HP\Downloads\Main_Dashboard\app\api\purchase-orders\route.ts", "TypeScript", 0, 0, 0, 422, 0, 0, 0, 0, 0, 0, 3, 70, 495
"c:\Users\HP\Downloads\Main_Dashboard\app\api\purchase-orders\upload\route.ts", "TypeScript", 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 13, 87
"c:\Users\HP\Downloads\Main_Dashboard\app\api\purchase-orders\workflow\route.ts", "TypeScript", 0, 0, 0, 595, 0, 0, 0, 0, 0, 0, 2, 66, 663
"c:\Users\HP\Downloads\Main_Dashboard\app\api\user-preferences\route.ts", "TypeScript", 0, 0, 0, 118, 0, 0, 0, 0, 0, 0, 4, 23, 145
"c:\Users\HP\Downloads\Main_Dashboard\app\auth\login\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 209, 0, 1, 20, 230
"c:\Users\HP\Downloads\Main_Dashboard\app\brands\kia\business-excellence\[report]\loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 1, 17
"c:\Users\HP\Downloads\Main_Dashboard\app\brands\kia\business-excellence\[report]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 10, 51
"c:\Users\HP\Downloads\Main_Dashboard\app\brands\kia\business-excellence\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 6, 22
