Date : 2026-07-16 17:36:11
Directory : c:\Users\sahil\Downloads\am_group_main_dashboard
Total : 896 files,  213753 codes, 4627 comments, 17249 blanks, all 235629 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript JSX     |        176 |     88,074 |      1,223 |      6,260 |     95,557 |
| TypeScript         |        444 |     69,744 |      2,562 |      7,119 |     79,425 |
| JSON               |         12 |     30,761 |          0 |          9 |     30,770 |
| JavaScript         |        149 |     12,287 |        304 |      1,387 |     13,978 |
| Markdown           |         31 |      5,544 |          2 |      1,473 |      7,019 |
| MS SQL             |         69 |      4,977 |        495 |        722 |      6,194 |
| PostCSS            |          1 |      1,710 |         36 |        258 |      2,004 |
| Log                |          5 |        563 |          0 |         12 |        575 |
| JSON with Comments |          2 |         52 |          0 |          2 |         54 |
| PowerShell         |          1 |         30 |          5 |          7 |         42 |
| XML                |          6 |         11 |          0 |          0 |         11 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                            | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                               |        896 |    213,753 |      4,627 |     17,249 |    235,629 |
| . (Files)                                                                                                                       |         30 |     16,138 |         26 |      1,007 |     17,171 |
| .agents                                                                                                                         |          1 |          2 |          0 |          2 |          4 |
| .claude                                                                                                                         |          2 |         15 |          0 |          2 |         17 |
| .kilo                                                                                                                           |          2 |        432 |          0 |        109 |        541 |
| .kilo\plans                                                                                                                     |          2 |        432 |          0 |        109 |        541 |
| app                                                                                                                             |        228 |     52,502 |        650 |      4,694 |     57,846 |
| app (Files)                                                                                                                     |          6 |      1,835 |         37 |        274 |      2,146 |
| app\admin                                                                                                                       |          5 |         37 |          0 |         11 |         48 |
