"filename", "language", "Log", "JSON with Comments", "Markdown", "PowerShell", "JSON", "JavaScript", "TypeScript", "MS SQL", "XML", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\HP\Downloads\Main_Dashboard\app\api\brands\hyundai\business-excellence\performance-intelligence\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 437, 0, 0, 0, 0, 0, 30, 467
"c:\Users\HP\Downloads\Main_Dashboard\app\api\brands\hyundai\business-excellence\ro-billing-analysis\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 1398, 0, 0, 0, 0, 0, 140, 1538
"c:\Users\HP\Downloads\Main_Dashboard\app\api\brands\hyundai\business-excellence\ro-billing-report\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 288, 0, 0, 0, 0, 0, 15, 303
"c:\Users\HP\Downloads\Main_Dashboard\app\api\brands\hyundai\business-excellence\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 302, 0, 0, 0, 0, 0, 36, 338
"c:\Users\HP\Downloads\Main_Dashboard\app\api\brands\hyundai\business-excellence\rows\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 5, 21
"c:\Users\HP\Downloads\Main_Dashboard\app\api\brands\hyundai\business-excellence\workshop-performance\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 863, 0, 0, 0, 0, 0, 44, 907
"c:\Users\HP\Downloads\Main_Dashboard\app\api\brands\hyundai\repair-orders\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 292, 0, 0, 0, 0, 0, 15, 307
"c:\Users\HP\Downloads\Main_Dashboard\app\api\brands\kia\business-excellence\ai-summary\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 445, 0, 0, 0, 0, 0, 65, 510
"c:\Users\HP\Downloads\Main_Dashboard\app\api\brands\kia\business-excellence\complaints\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 730, 0, 0, 0, 0, 0, 26, 756
"c:\Users\HP\Downloads\Main_Dashboard\app\api\brands\kia\business-excellence\freshness\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 119, 0, 0, 0, 0, 0, 10, 129
"c:\Users\HP\Downloads\Main_Dashboard\app\api\brands\kia\business-excellence\open-ro\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 523, 0, 0, 0, 0, 0, 30, 553
"c:\Users\HP\Downloads\Main_Dashboard\app\api\brands\kia\business-excellence\overview\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 1394, 0, 0, 0, 0, 0, 79, 1473
"c:\Users\HP\Downloads\Main_Dashboard\app\api\brands\kia\business-excellence\performance-intelligence\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 433, 0, 0, 0, 0, 0, 30, 463
"c:\Users\HP\Downloads\Main_Dashboard\app\api\brands\kia\business-excellence\ro-billing-analysis\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 1526, 0, 0, 0, 0, 0, 143, 1669
"c:\Users\HP\Downloads\Main_Dashboard\app\api\brands\kia\business-excellence\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 300, 0, 0, 0, 0, 0, 36, 336
"c:\Users\HP\Downloads\Main_Dashboard\app\api\brands\kia\business-excellence\rows\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 5, 21
"c:\Users\HP\Downloads\Main_Dashboard\app\api\brands\kia\business-excellence\service-dashboard-export\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 6, 42
"c:\Users\HP\Downloads\Main_Dashboard\app\api\brands\kia\business-excellence\workshop-performance\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 998, 0, 0, 0, 0, 0, 74, 1072
"c:\Users\HP\Downloads\Main_Dashboard\app\api\brands\kia\demo-cars-list\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 504, 0, 0, 0, 0, 0, 32, 536
"c:\Users\HP\Downloads\Main_Dashboard\app\api\brands\kia\demo-job-cards\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 422, 0, 0, 0, 0, 0, 51, 473
"c:\Users\HP\Downloads\Main_Dashboard\app\api\brands\kia\proforma\[id]\preview\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 5, 41
"c:\Users\HP\Downloads\Main_Dashboard\app\api\brands\kia\proforma\[id]\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 94, 0, 0, 0, 0, 0, 12, 106
"c:\Users\HP\Downloads\Main_Dashboard\app\api\brands\kia\proforma\analytics\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 138, 0, 0, 0, 0, 0, 9, 147
"c:\Users\HP\Downloads\Main_Dashboard\app\api\brands\kia\proforma\options\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 7, 66
"c:\Users\HP\Downloads\Main_Dashboard\app\api\brands\kia\proforma\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 191, 0, 0, 0, 0, 0, 20, 211
"c:\Users\HP\Downloads\Main_Dashboard\app\api\brands\kia\proforma\settings\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 6, 33
"c:\Users\HP\Downloads\Main_Dashboard\app\api\brands\kia\service-appointment\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 381, 0, 0, 0, 0, 0, 21, 402
"c:\Users\HP\Downloads\Main_Dashboard\app\api\brands\platinum\business-excellence\ai-summary\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 465, 0, 0, 0, 0, 0, 68, 533
"c:\Users\HP\Downloads\Main_Dashboard\app\api\brands\platinum\business-excellence\complaints\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 757, 0, 0, 0, 0, 0, 29, 786
"c:\Users\HP\Downloads\Main_Dashboard\app\api\brands\platinum\business-excellence\freshness\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 126, 0, 0, 0, 0, 0, 10, 136
"c:\Users\HP\Downloads\Main_Dashboard\app\api\brands\platinum\business-excellence\open-ro\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 519, 0, 0, 0, 0, 0, 30, 549
"c:\Users\HP\Downloads\Main_Dashboard\app\api\brands\platinum\business-excellence\overview\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 1451, 0, 0, 0, 0, 0, 76, 1527
"c:\Users\HP\Downloads\Main_Dashboard\app\api\brands\platinum\business-excellence\performance-intelligence\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 446, 0, 0, 0, 0, 0, 30, 476
"c:\Users\HP\Downloads\Main_Dashboard\app\api\brands\platinum\business-excellence\ro-billing-analysis\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 1409, 0, 0, 0, 0, 0, 140, 1549
"c:\Users\HP\Downloads\Main_Dashboard\app\api\brands\platinum\business-excellence\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 318, 0, 0, 0, 0, 0, 36, 354
"c:\Users\HP\Downloads\Main_Dashboard\app\api\brands\platinum\business-excellence\rows\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 5, 21
"c:\Users\HP\Downloads\Main_Dashboard\app\api\brands\platinum\business-excellence\sot\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 402, 0, 0, 0, 0, 0, 31, 433
"c:\Users\HP\Downloads\Main_Dashboard\app\api\brands\platinum\business-excellence\workshop-performance\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 1170, 0, 0, 0, 0, 0, 58, 1228
"c:\Users\HP\Downloads\Main_Dashboard\app\api\business-excellence\ro-billing-analysis\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 3, 9
"c:\Users\HP\Downloads\Main_Dashboard\app\api\business-excellence\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 3, 9
"c:\Users\HP\Downloads\Main_Dashboard\app\api\finance-orders\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 399, 0, 0, 0, 0, 0, 46, 445
"c:\Users\HP\Downloads\Main_Dashboard\app\api\finance-orders\workflow\route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 281, 0, 0, 0, 0, 0, 24, 305
